
		<li><!--<a href="https://github.com/HarryDulaney/java-programming-daniel-liang-10th/tree/master/src/">--><strong>Chapter 29</strong><!--</a>--> - Weighted Graphs and Applications </li><br>
		<li><!--<a href="https://github.com/HarryDulaney/java-programming-daniel-liang-10th/tree/master/src/">--><strong>Chapter 30</strong><!--</a>--> - Multithreading and Parallel Programming</li><br>
		<li><!--<a href="https://github.com/HarryDulaney/java-programming-daniel-liang-10th/tree/master/src/">--><strong>Chapter 31</strong><!--</a>--> - Networking </li><br>
		<li><!--<a href="https://github.com/HarryDulaney/java-programming-daniel-liang-10th/tree/master/src/">--><strong>Chapter 32</strong><!--</a>--> - Java Database Programming</li><br>
		<li><!--<a href="https://github.com/HarryDulaney/java-programming-daniel-liang-10th/tree/master/src/">--><strong>Chapter 33</strong><!--</a>--> - Java Server Faces</li><br>
</ul>

____

<h1 id="checkpoint-answers">Checkpoint Answers</h1>

- ##### <a href="https://liveexample.pearsoncmg.com/checkpoint/Chapter1.html">Chapter 1 Check Point Questions</a>
- ##### <a href="https://liveexample.pearsoncmg.com/checkpoint/Chapter2.html">Chapter 2 Check Point Questions</a>
- ##### <a href="https://liveexample.pearsoncmg.com/checkpoint/Chapter3.html">Chapter 3 Check Point Questions</a>
- ##### <a href="https://liveexample.pearsoncmg.com/checkpoint/Chapter4.html">Chapter 4 Check Point Questions</a>
- ##### <a href="https://liveexample.pearsoncmg.com/checkpoint/Chapter5.html">Chapter 5 Check Point Questions</a>
- ##### <a href="https://liveexample.pearsoncmg.com/checkpoint/Chapter6.html">Chapter 6 Check Point Questions</a>
- ##### <a href="https://liveexample.pearsoncmg.com/checkpoint/Chapter7.html">Chapter 7 Check Point Questions</a>
- ##### <a href="https://liveexample.pearsoncmg.com/checkpoint/Chapter8.html">Chapter 8 Check Point Questions</a>
- ##### <a href="https://liveexample.pearsoncmg.com/checkpoint/Chapter9.html">Chapter 9 Check Point Questions</a>
- ##### <a href="https://liveexample.pearsoncmg.com/checkpoint/Chapter10.html">Chapter 10 Check Point Questions</a>
- ##### <a href="https://liveexample.pearsoncmg.com/checkpoint/Chapter11.html">Chapter 11 Check Point Questions</a>
- ##### <a href="https://liveexample.pearsoncmg.com/checkpoint/Chapter12.html">Chapter 12 Check Point Questions</a>
- ##### <a href="https://liveexample.pearsoncmg.com/checkpoint/Chapter13.html">Chapter 13 Check Point Questions</a>
- ##### <a href="https://liveexample.pearsoncmg.com/checkpoint/Chapter14.html">Chapter 14 Check Point Questions</a>
- ##### <a href="https://liveexample.pearsoncmg.com/checkpoint/Chapter15.html">Chapter 15 Check Point Questions</a>
- ##### <a href="https://liveexample.pearsoncmg.com/checkpoint/Chapter16.html">Chapter 16 Check Point Questions</a>
- ##### <a href="https://liveexample.pearsoncmg.com/checkpoint/Chapter17.html">Chapter 17 Check Point Questions</a>
- ##### <a href="https://liveexample.pearsoncmg.com/checkpoint/Chapter18.html">Chapter 18 Check Point Questions</a>
- ##### <a href="https://liveexample.pearsoncmg.com/
